id,old_id,cod_usuario,codTipoSol,id_sol,fecCreacionSol,horaCracionSol,yeard,pagoSolicitud,intermedioStatus,recepcionador,horaRecepcion,solicitudEncontrado,observacionNE,calificador,buscador,fechaDespacho,pagoSolicitud,tipoDocumento,numFolios,cantDocSolicita,fechaPreEntrega,HoraPreEntrega
1,1,8905,1,1,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
2,2,8905,1,23467,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,3,18607,1,23468,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,4,13843,1,23469,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,5,18608,2,2825,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,6,18609,1,23470,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,7,18610,1,23471,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,8,18610,1,23472,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,9,3372,1,23473,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,10,18611,1,23474,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,11,18612,1,23475,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,12,18613,1,23476,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,13,13789,1,23477,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,14,18614,1,23478,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,15,18615,1,23479,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,16,18616,1,23480,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,17,18617,1,23481,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,18,18578,1,23482,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,19,14834,1,23483,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,20,18618,1,23484,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,21,1073,1,23485,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,22,14313,1,23486,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,23,17364,1,23487,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,24,14313,1,23488,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,25,14869,3,1168,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,26,18619,1,23489,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,27,18611,1,23490,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,28,14869,3,1169,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,29,18620,1,23491,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,30,18621,1,23492,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,31,18622,1,23493,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,32,18623,1,23494,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,33,8861,1,23495,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,34,18624,1,23496,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,35,18624,1,23497,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,36,18625,1,23498,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,37,18625,1,23499,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,38,18625,1,23500,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,39,13910,1,23501,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,40,12443,1,23502,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,41,18626,2,2826,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,42,2421,1,23503,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,43,18627,2,2827,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,44,5678,1,23504,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,45,18624,1,23505,05/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,46,15339,1,23506,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,47,18628,1,23507,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,48,18629,1,23508,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,49,12149,1,23509,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,50,18630,1,23510,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,51,11117,1,23511,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,52,18631,2,2828,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,53,18196,1,23512,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,54,18632,1,23513,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,55,2767,1,23514,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,56,18633,1,23515,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,57,18634,1,23516,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,58,18635,1,23517,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,59,12711,1,23518,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,60,2715,3,1170,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,61,18636,1,23519,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,62,18637,2,2829,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,63,8541,1,23520,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,64,18638,1,23521,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,65,18638,1,23522,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,66,18638,1,23523,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,67,18638,1,23524,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,68,18639,1,23525,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,69,18639,1,23526,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,70,18639,1,23527,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,71,18639,1,23528,06/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
